name,weapon_class,weapon_text,record
Manta,drum,Eggbeater drum spinner,1-0
Terrortops,vertical_spinner,Vertical spinner Lifter,1-0
Valkyrie,horizontal_spinner,Undercutter spinner,0-1
Skorpios,hammer,Articulating overhead saw Hammer saw (WC IV-Present) Articulating flamethrower fangs (WC V) Overhead flamethrower (WC VII-Present) Overhead swinging knife (WC VII-Present),0-1
MadCatter,vertical_spinner,Vertical spinner Axe (WC IV-BB: Bounty Hunters) Lifting arm (WC IV-WC VII),1-0
Magnitude,drum,Eggbeater drum spinner,1-0
Disarray,vertical_spinner,Vertical drisk spinner Vertical disk spinner (Proving Ground 2024-Present) Flamethrower (Proving Ground 2025-Present),0-1
Tombstone,horizontal_spinner,Horizontal bar spinner,0-1
Copperhead,drum,Eggbeater drum spinner,1-0
The Twins,vertical_spinner,2x Vertical spinners,1-0
Cobalt,vertical_spinner,Horizontal spinner (WC II) Vertical spinner (WC IV-Present),0-1
JackPot,vertical_spinner,Vertical spinner Lifting forks (WC VII-Present),0-1
Malice,drum,Horizontal drum spinner,1-0
Golden Fury,vertical_spinner,Vertical spinner,1-0
DeathRoll,other,Vertical spinning disk,0-1
End Game,vertical_spinner,Vertical spinner,0-1
HUGE,vertical_spinner,Vertical bar spinner,1-0
Minotaur,drum,Drum spinner,1-0
Bloodsport,horizontal_spinner,Horizontal spinner,0-1
HyperShock,vertical_spinner,Vertical spinner Hydraulic arms (WC I) Lifting wedges (WC II),0-1
Witch Doctor,vertical_spinner,Vertical disk spinner Vertical drisk spinner (WC II-Present) Flamethrower,1-0
Switchback,drum,Articulating eggbeater spinner (WC VII-Present) Articulating drum spinner (WC VI-BB: Champions I),1-0
Ribbot,horizontal_spinner,Vertical disk spinner Horizontal undercutter Vertical bar spinner Lifter (WC IV) Eggbeater spinner (BB BB Pro League),0-1
Orbitron,vertical_spinner,Twin vertical spinners,0-1
