bot,season,stage,opponent,won,method,result_text
Bloodsport,"Fight Nights 3-2, Play-In Matches",Fight Night #1,Lucky,True,jd,Won (JD)
Bloodsport,"Fight Nights 3-2, Play-In Matches",Fight Night #2,Black Dragon,False,ko,Lost (KO)
Bloodsport,"Fight Nights 3-2, Play-In Matches",Fight Night #3,Breaker Box,True,ko,Won (KO)
Bloodsport,"Fight Nights 3-2, Play-In Matches",Fight Night #4,The Four Horsemen,True,ko,Won (KO)
Bloodsport,NOTE: The battle against The Four Horsemen was only aired in international broadcasts,Play-In Match,"Railgun MAX, Uppercut",False,ko,Lost (KO)
Bloodsport,Exhibition Matches,Exhibition Match,Sharkoprion,True,ko,Won (KO)
Bloodsport,Fight Nights,Fight Night #1,Skorpios,True,ko,Won (KO)
Bloodsport,Fight Nights,Fight Night #2 - Main Event,End Game,True,ko,Won (KO)
Bloodsport,Fight Nights,Fight Night #3,Chronos,True,jd,Won (JD)
Bloodsport,"World Championship Tournament #2 Seed, Round of 16",Round of 32,Gruff,True,jd,Won (Split JD)
Bloodsport,"World Championship Tournament #2 Seed, Round of 16",Round of 16,Tantrum,False,jd,Lost (Split JD)
Bloodsport,Bounty Hunters - Beta Bounty Final,Quarter-Final,Aegis,True,ko,Won (KO)
Bloodsport,Bounty Hunters - Beta Bounty Final,Semi-Final,HiJinx,True,ko,Won (KO)
Bloodsport,Bounty Hunters - Beta Bounty Final,Final,Lock-Jaw,False,jd,Lost (JD)
Bloodsport,Fight Nights,Fight Night #1 - Main Event,Whiplash,False,ko,Lost (KO)
Bloodsport,Fight Nights,Fight Night #2,SubZero,True,ko,Won (KO)
Bloodsport,Fight Nights,Fight Night #3,Claw Viper,True,jd,Won (JD)
Bloodsport,"World Championship Tournament #17 Seed, Round of 32",Round of 32,Minotaur,False,jd,Lost (JD)
Bloodsport,Exhibition Matches,Exhibition Match,Riptide,False,jd,Lost (Split JD)
Bloodsport,Sin City Slugfest IV Golden Bolt Qualifier,Quarter-Final,Big Dill,True,ko,Won (KO)
Bloodsport,Sin City Slugfest IV Golden Bolt Qualifier,Semi-Final,Blade,True,ko,Won (KO)
Bloodsport,Sin City Slugfest IV Golden Bolt Qualifier,Final,Blacksmith,True,jd,Won (Split JD)
Bloodsport,Sin City Slugfest IV Golden Bolt Qualifier,Golden Bolt Qualifier,Skorpios,False,jd,Lost (Split JD)
Bloodsport,Fight Nights,Fight Night #1,Copperhead,False,ko,Lost (KO)
Bloodsport,Fight Nights,Fight Night #2,Gigabyte,True,ko,Won (KO)
Bloodsport,Fight Nights,Fight Night #3 - Main Event,ROTATOR,True,ko,Won (KO)
Bloodsport,Fight Nights,Fight Night #4,Beta,False,jd,Lost (JD)
Bloodsport,"World Championship Tournament #19 Seed, Round of 32",Round of 32,Lock-Jaw,False,ko,Lost (KO)
Bloodsport,Exhibition Matches,Exhibition Match,Big Dill,False,jd,Lost (JD)
Bloodsport,Sin City Slugfest II  Quarter-Finals,Quarter-Final,MadCatter,False,ko,Lost (KO)
Bloodsport,BattleBots Proving Ground,Exhibition Match #1,JackPot,False,ko,Lost (KO)
Bloodsport,BattleBots Proving Ground,Exhibition Match #2,JackPot,True,ko,Won (KO)
Bloodsport,"Group E 2-1, 2nd Place",Round Robin Match #1,Switchback,True,ko,Won (KO)
Bloodsport,"Group E 2-1, 2nd Place",Round Robin Match #2,Terrortops,False,ko,Lost (KO)
Bloodsport,"Group E 2-1, 2nd Place",Round Robin Match #3,Fireball,True,ko,Won (KO)
Bloodsport,Group E,Round Robin Match #1,Minotaur,False,ko,Lost (KO)
Bloodsport,Group E,Round Robin Match #?,HUGE,False,,TBD
Bloodsport,Group E,Round Robin Match #?,HyperShock,False,,TBD
