bot,season,stage,opponent,won,method,result_text
End Game,"Fight Nights 2-2, Play-In Matches",Fight Night #1,Captain Shrederator,True,ko,Won (KO)
End Game,"Fight Nights 2-2, Play-In Matches",Fight Night #2,Lock-Jaw,True,ko,Won (KO)
End Game,"Fight Nights 2-2, Play-In Matches",Fight Night #3 - Main Event,Bite Force,False,ko,Lost (KO)
End Game,"Fight Nights 2-2, Play-In Matches",Fight Night #4,Son of Whyachi,False,ko,Lost (KO)
End Game,"Fight Nights 2-2, Play-In Matches",Play-In Match,"Brutus, WAR Hawk",False,ko,Lost (KO)
End Game,USA vs. The World Representing the Rest of the World,USA vs. The World,SawBlaze,False,jd,Lost (Split JD)
End Game,"Fight Nights 1-2, Desperado Tournament, Semi-Finals",Fight Night #1,DeathRoll,False,ko,Lost (KO)
End Game,"Fight Nights 1-2, Desperado Tournament, Semi-Finals",Fight Night #2,Ribbot,False,ko,Lost (KO)
End Game,"Fight Nights 1-2, Desperado Tournament, Semi-Finals","Desperado Tournament, Quarter-Final",Gruff,True,ko,Won (KO)
End Game,"Fight Nights 1-2, Desperado Tournament, Semi-Finals","Desperado Tournament, Semi-Final",Minotaur,False,ko,Lost (KO)
End Game,"Fight Nights 1-2, Desperado Tournament, Semi-Finals",Fight Night #3,Cobalt,True,ko,Won (KO)
End Game,Exhibition Matches,Exhibition Match,DUCK!,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #1 - Main Event,Tombstone,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #2 - Main Event,Bloodsport,False,ko,Lost (KO)
End Game,Fight Nights,Fight Night #3,HyperShock,True,ko,Won (KO)
End Game,"World Championship Tournament #6 Seed, World Champion",Round of 32,Perfect Phoenix,True,ko,Won (KO)
End Game,"World Championship Tournament #6 Seed, World Champion",Round of 16,ROTATOR,True,jd,Won (Split JD)
End Game,"World Championship Tournament #6 Seed, World Champion",Quarter-Final,Shatter!,True,ko,Won (KO)
End Game,"World Championship Tournament #6 Seed, World Champion",Semi-Final,Tantrum,True,ko,Won (KO)
End Game,"World Championship Tournament #6 Seed, World Champion",Final,Whiplash,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #1 - Main Event,Hydra,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #2 - Main Event,Witch Doctor,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #3 - Main Event,SawBlaze,True,ko,Won (KO)
End Game,"World Championship Tournament #1 Seed, Round of 16",Round of 32,Skorpios,True,ko,Won (KO)
End Game,"World Championship Tournament #1 Seed, Round of 16",Round of 16,Minotaur,False,jd,Lost (JD)
End Game,"Golden Bolt Tournament Qualified as World Champion V, Golden Bolt Champion",Quarter-Final,Ribbot,True,ko,Won (KO)
End Game,"Golden Bolt Tournament Qualified as World Champion V, Golden Bolt Champion",Semi-Final,Tantrum,True,jd,Won (JD)
End Game,"Golden Bolt Tournament Qualified as World Champion V, Golden Bolt Champion",Final,Witch Doctor,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #1 - Main Event,Blip,True,jd,Won (JD)
End Game,Fight Nights,Fight Night #2,RIPperoni,False,ko,Lost (KO)
End Game,Fight Nights,Fight Night #3 - Main Event,HyperShock,True,ko,Won (KO)
End Game,Fight Nights,Fight Night #4,Gigabyte,True,ko,Won (KO)
End Game,"World Championship Tournament #7 Seed, Round of 16",Round of 32,Tantrum,True,jd,Won (JD)
End Game,"World Championship Tournament #7 Seed, Round of 16",Round of 16,Copperhead,False,jd,Lost (JD)
End Game,"Golden Bolt Tournament Qualified as World Champion V, Golden Bolt Champion",Quarter-Final,Free Shipping,True,ko,Won (KO)
End Game,"Golden Bolt Tournament Qualified as World Champion V, Golden Bolt Champion",Semi-Final,JackPot,True,ko,Won (KO)
End Game,"Golden Bolt Tournament Qualified as World Champion V, Golden Bolt Champion",Final,SawBlaze,True,jd,Won (Split JD)
End Game,Group D TBD,Round Robin Match #1,Malice,False,ko,Lost (KO)
End Game,Group D TBD,Round Robin Match #?,Deathroll,False,,TBD
End Game,Group D TBD,Round Robin Match #?,Golden Fury,False,,TBD
