bot,season,stage,opponent,won,method,result_text
HUGE,Fight Nights,Fight Night #1,SubZero,True,jd,Won (JD)
HUGE,Fight Nights,Fight Night #2,Free Shipping,True,jd,Won (Split JD)
HUGE,Fight Nights,Fight Night #3,Chomp,True,jd,Won (JD)
HUGE,Fight Nights,Fight Night #4,Icewave,False,ko,Lost (KO)
HUGE,"World Championship Tournament #14 Seed, Round of 16",Round of 16,Bite Force,False,ko,Lost (KO)
HUGE,Fight Nights,Fight Night #1,Son of Whyachi,False,ko,Lost (KO)
HUGE,Fight Nights,Fight Night #2,Jasper,True,ko,Won (KO)
HUGE,Fight Nights,Fight Night #3,Gigabyte,True,jd,Won (JD)
HUGE,Fight Nights,Fight Night #4 - Main Event,Bronco,True,jd,Won (JD)
HUGE,Fight Nights,Play-In Match,HyperShock,True,ko,Won (KO)
HUGE,"World Championship Tournament #12 Seed, Round of 16",Round of 16,Whiplash,False,jd,Lost (Split JD)
HUGE,Fight Nights,Fight Night #1,Mammoth,False,ko,Lost (KO)
HUGE,Fight Nights,Fight Night #2,Hydra,False,jd,Lost (JD)
HUGE,Fight Nights,Fight Night #3,Kraken,True,jd,Won (JD)
HUGE,"World Championship Tournament #25 Seed, Round of 32",Round of 32,Whiplash,False,jd,Lost (JD)
HUGE,Witch Doctor Bounty  Semi-Finals,Quarter-Final,Slap Box,True,jd,Won (JD)
HUGE,Witch Doctor Bounty  Semi-Finals,Semi-Final,Malice,False,jd,Lost (JD)
HUGE,Fight Nights,Fight Night #1,Riptide,False,ko,Lost (KO)
HUGE,Fight Nights,Fight Night #2,Retrograde,True,ko,Won (KO)
HUGE,Fight Nights,Fight Night #3,Switchback,True,ko,Won (KO)
HUGE,"World Championship Tournament #28 Seed, Round of 32",Round of 32,Uppercut,False,ko,"Lost (Double KO, JD)"
HUGE,Exhibition Matches,Exhibition Match,Captain Shrederator,True,ko,Won (KO)
HUGE,Sin City Slugfest II Quarter-Finals,Quarter-Final,Deep Six,False,jd,Lost (JD)
HUGE,Fight Nights,Fight Night #1,Shatter!,True,ko,Won (KO)
HUGE,Fight Nights,Fight Night #2,Blip,True,jd,Won (JD)
HUGE,Fight Nights,Fight Night #3,Fusion,True,ko,Won (KO)
HUGE,Fight Nights,Fight Night #4,Starchild,True,jd,Won (JD)
HUGE,"World Championship Tournament #6 Seed, Runner-Up",Round of 32,Skorpios,True,ko,Won (KO)
HUGE,"World Championship Tournament #6 Seed, Runner-Up",Round of 16,MadCatter,True,jd,Won (JD)
HUGE,"World Championship Tournament #6 Seed, Runner-Up",Quarter-Final,Witch Doctor,True,jd,Won (JD)
HUGE,"World Championship Tournament #6 Seed, Runner-Up",Semi-Final,Copperhead,True,ko,Won (KO)
HUGE,"World Championship Tournament #6 Seed, Runner-Up",Final,SawBlaze,False,jd,Lost (JD)
HUGE,Group E TBD,Round Robin Match #1,HyperShock,True,ko,Won (KO)
HUGE,Group E TBD,Round Robin Match #?,Bloodsport,False,,TBD
HUGE,Group E TBD,Round Robin Match #?,Minotaur,False,,TBD
