bot,season,stage,opponent,won,method,result_text
HyperShock,"World Championship Tournament #14 Seed, Round of 16",Qualifier,Mohawk,True,ko,Won (KO)
HyperShock,"World Championship Tournament #14 Seed, Round of 16",Round of 16,Bite Force,False,ko,Lost (KO)
HyperShock,Exhibition Matches,Exhibition Match,Icewave,False,ko,Lost (KO)
HyperShock,"World Championship Tournament #11 Seed, Round of 16",Qualifier,UltraViolent,True,ko,Won (KO)
HyperShock,"NOTE: HyperShock was originally drawn against HellaChopper, but UltraViolent took its place",Round of 32,Warrior Clan,True,ko,Won (KO)
HyperShock,"NOTE: HyperShock was originally drawn against HellaChopper, but UltraViolent took its place",Round of 16,Poison Arrow,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #1 - Main Event,Bite Force,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #2,Battle Royale With Cheese,True,ko,Won (KO)
HyperShock,Fight Nights,Fight Night #3,Free Shipping,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #4,Skorpios,False,jd,Lost (Split JD)
HyperShock,USA vs. The World Representing the USA,USA. vs The World,Reality,False,ko,Lost (KO)
HyperShock,"Fight Nights 3-2, Play-In Matches",Fight Night #1,Valkyrie,True,ko,Won (KO)
HyperShock,"Fight Nights 3-2, Play-In Matches",Fight Night #2,Monsoon,True,ko,Won (KO)
HyperShock,"Fight Nights 3-2, Play-In Matches",Fight Night #3 - Main Event,Bite Force,False,jd,Lost (JD)
HyperShock,"Fight Nights 3-2, Play-In Matches",Fight Night #4,Breaker Box,True,ko,Won (KO)
HyperShock,"Fight Nights 3-2, Play-In Matches",Play-In Match,HUGE,False,ko,Lost (KO)
HyperShock,Exhibition Matches,Exhibition Match,Hydra,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #1 - Main Event,Gruff,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #2,Mammoth,True,ko,Won (KO)
HyperShock,Fight Nights,Fight Night #3,End Game,False,ko,Lost (KO)
HyperShock,"World Championship Tournament #32 Seed, Round of 32",Round of 32,Hydra,False,ko,Lost (KO)
HyperShock,Bounty Hunters - Icewave Bounty  Final,Quarter-Final,Sporkinok,True,jd,Won (JD)
HyperShock,Bounty Hunters - Icewave Bounty  Final,Semi-Final,Ghost Raptor,True,ko,Won (KO)
HyperShock,Bounty Hunters - Icewave Bounty  Final,Final,Skorpios,False,jd,Lost (JD)
HyperShock,Fight Nights,Fight Night #1,Slammo!,True,ko,Won (KO)
HyperShock,Fight Nights,Fight Night #2 - Main Event,Lock-Jaw,True,ko,Won (KO)
HyperShock,"World Championship Tournament #13 Seed, Round of 32",Round of 32,P1,False,jd,Lost (JD)
HyperShock,re:MARS all:STARS BattleBots Challenge (2022) Champion,Quarter-Final,Tombstone,True,ko,Won (KO)
HyperShock,re:MARS all:STARS BattleBots Challenge (2022) Champion,Semi-Final,Blip,True,ko,Won (KO)
HyperShock,re:MARS all:STARS BattleBots Challenge (2022) Champion,Final,Hydra,True,ko,Won (KO)
HyperShock,Sin City Slugfest I Champion,Quarter-Final,DUCK!,True,jd,Won (JD)
HyperShock,Sin City Slugfest I Champion,Semi-Final,Valkyrie,True,ko,Won (KO)
HyperShock,Sin City Slugfest I Champion,Final,MadCatter,True,ko,Won (KO)
HyperShock,Sin City Slugfest I Champion,Golden Bolt Qualifier,Gigabyte,True,ko,Won (KO)
HyperShock,Golden Bolt Tournament  Semi-Finals,Quarter-Final,Skorpios,True,ko,Won (KO)
HyperShock,Golden Bolt Tournament  Semi-Finals,Semi-Final,Witch Doctor,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #1,SawBlaze,False,ko,"Lost (Double KO, JD)"
HyperShock,Fight Nights,Fight Night #2 - Main Event,Whiplash,True,ko,Won (KO)
HyperShock,Fight Nights,Fight Night #3 - Main Event,End Game,False,ko,Lost (KO)
HyperShock,Fight Nights,Fight Night #4,Claw Viper,True,ko,Won (KO)
HyperShock,"World Championship Tournament #18 Seed, Round of 16",Round of 32,Lucky,True,jd,Won (JD)
HyperShock,"World Championship Tournament #18 Seed, Round of 16",Round of 16,Riptide,False,ko,Lost (KO)
HyperShock,Sin City Slugfest V  Runner-Up,Quarter-Final,Starchild,True,jd,Won (JD)
HyperShock,Sin City Slugfest V  Runner-Up,Semi-Final,Claw Viper,True,jd,Won (JD)
HyperShock,Sin City Slugfest V  Runner-Up,Final,RIPperoni,False,jd,Lost (JD)
HyperShock,BattleBots Proving Ground,Exhibition Match #1,Magnitude,True,ko,Won (KO)
HyperShock,BattleBots Proving Ground,Exhibition Match #2,Magnitude,True,ko,Won (KO)
HyperShock,"Episode 1 (Group F) 2-1, 2nd Place",Round Robin Match #1,Tombstone,True,ko,Won (KO)
HyperShock,"Episode 1 (Group F) 2-1, 2nd Place",Round Robin Match #2,Orbitron,True,ko,Won (KO)
HyperShock,"Episode 1 (Group F) 2-1, 2nd Place",Round Robin Match #3,Valkyrie,False,ko,Lost (KO)
HyperShock,Group E TBD,Round Robin Match #1,HUGE,False,ko,Lost (KO)
HyperShock,Group E TBD,Round Robin Match #?,Bloodsport,False,,TBD
HyperShock,Group E TBD,Round Robin Match #?,Minotaur,False,,TBD
