bot,season,stage,opponent,won,method,result_text
Malice,Fight Nights,Fight Night #1,Axe Backwards,True,ko,Won (KO)
Malice,Fight Nights,Fight Night #2,Shatter!,True,jd,Won (Split JD)
Malice,Fight Nights,Fight Night #3,MadCatter,False,ko,Lost (KO)
Malice,"World Championship Tournament #16 Seed, Round of 32",Round of 32,Gigabyte,False,ko,Lost (KO)
Malice,Bounty Hunters - Witch Doctor Bounty  Final,Quarter-Final,Tracer,True,ko,Won (KO)
Malice,Bounty Hunters - Witch Doctor Bounty  Final,Semi-Final,HUGE,True,jd,Won (JD)
Malice,Bounty Hunters - Witch Doctor Bounty  Final,Final,SubZero,False,ko,Lost (KO)
Malice,"Fight Nights 1-2, Play-In Matches",Fight Night #1,Tantrum,False,jd,Lost (JD)
Malice,"Fight Nights 1-2, Play-In Matches",Fight Night #2,JackPot,False,ko,Lost (KO)
Malice,"Fight Nights 1-2, Play-In Matches",Fight Night #3,Blacksmith,True,jd,Won (JD)
Malice,"Fight Nights 1-2, Play-In Matches",Play-In Match,Skorpios,False,jd,Lost (JD)
Malice,re:MARS all:STARS BattleBots Challenge (2022) Grudge Match,Grudge Match,JackPot,True,ko,Won (KO)
Malice,Sin City Slugfest II Semi-Finals,Quarter-Final,Slammo!,True,ko,Won (KO)
Malice,Sin City Slugfest II Semi-Finals,Semi-Final,Ribbot,False,jd,Lost (JD)
Malice,Fight Nights,Fight Night #1,Lock-Jaw,False,jd,Lost (JD)
Malice,Fight Nights,Fight Night #2,Emulsifier,True,ko,Won (KO)
Malice,Fight Nights,Fight Night #3,Valkyrie,True,jd,Won (JD)
Malice,"NOTE: Valkyrie was initially declared the winner of this battle on a split judges' decision. However, following an Appeal, the judges rescored the fight and Malice was declared the winner by unanimous judges' decision.",Fight Night #4,Gruff,True,ko,Won (KO)
Malice,"World Championship Tournament #17 Seed, Round of 16",Round of 32,Switchback,True,jd,Won (JD)
Malice,"World Championship Tournament #17 Seed, Round of 16",Round of 16,Minotaur,False,jd,Lost (JD)
Malice,Exhibition Matches,Exhibition Match,Captain Shrederator,True,jd,Won (JD)
Malice,Sin City Slugfest II  Semi-Finals,Quarter-Final,HiJinx,True,ko,Won (KO)
Malice,Sin City Slugfest II  Semi-Finals,Semi-Final,Whiplash,False,ko,Lost (KO)
Malice,"Episode 3 (Group B)  1-2, Joint 2nd Place",Round Robin Match #1,Lucky,True,,Won (Crowd)
Malice,"Episode 3 (Group B)  1-2, Joint 2nd Place",Round Robin Match #2,Disarray,False,,Lost (Crowd)
Malice,"Episode 3 (Group B)  1-2, Joint 2nd Place",Round Robin Match #3,JackPot,False,ko,Lost (KO)
Malice,Group D TBD,Round Robin Match #1,End Game,True,ko,Won (KO)
Malice,Group D TBD,Round Robin Match #?,Golden Fury,False,,TBD
Malice,Group D TBD,Round Robin Match #?,DeathRoll,False,,TBD
