bot,season,stage,opponent,won,method,result_text
Minotaur,"World Championship Tournament #7 Seed, Semi-Finals",Qualifier,Photon Storm,True,ko,Won (KO)
Minotaur,"World Championship Tournament #7 Seed, Semi-Finals",Round of 32,Blacksmith,True,ko,Won (KO)
Minotaur,"World Championship Tournament #7 Seed, Semi-Finals",Round of 16,Warhead,True,ko,Won (KO)
Minotaur,"World Championship Tournament #7 Seed, Semi-Finals",Quarter-Final,Bronco,True,ko,Won (KO)
Minotaur,"World Championship Tournament #7 Seed, Semi-Finals",Semi-Final,Bombshell,False,ko,Lost (KO)
Minotaur,Fight Nights,Fight Night #1 - Main Event,Tombstone,False,ko,Lost (KO)
Minotaur,Fight Nights,Fight Night #2,Hypothermia,True,jd,Won (JD)
Minotaur,Fight Nights,Fight Night #3 - Main Event,Blacksmith,True,jd,Won (JD)
Minotaur,Fight Nights,Fight Night #4 - Main Event,SubZero,True,ko,Won (KO)
Minotaur,"World Championship Tournament #4 Seed, Runner-Up",Round of 16,Witch Doctor,True,ko,Won (KO)
Minotaur,"World Championship Tournament #4 Seed, Runner-Up",Quarter-Final,Monsoon,True,ko,Won (KO)
Minotaur,"World Championship Tournament #4 Seed, Runner-Up",Semi-Final,Lock-Jaw,True,ko,Won (KO)
Minotaur,"World Championship Tournament #4 Seed, Runner-Up",Final,Bite Force,False,ko,Lost (KO)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up",Fight Night #1 - Main Event,Whiplash,False,jd,Lost (JD)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up",Fight Night #2,Gigabyte,False,jd,Lost (JD)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up","Desperado Tournament, Quarter-Final",Lucky,True,ko,Won (KO)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up","Desperado Tournament, Semi-Final",End Game,True,ko,Won (KO)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up","Desperado Tournament, Final",Black Dragon,False,jd,Lost (JD)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up",Fight Night #3,Shatter!,True,ko,Won (KO)
Minotaur,"Fight Nights 1-2, Desperado Runner-Up",Play-In Match,Cobalt,True,jd,Won (JD)
Minotaur,"World Championship Tournament #14 Seed, Quarter-Finals",Round of 16,Hydra,True,ko,Won (KO)
Minotaur,"World Championship Tournament #14 Seed, Quarter-Finals",Quarter-Final,DeathRoll,False,ko,Lost (KO)
Minotaur,Fight Nights,Fight Night #1,SawBlaze,False,jd,Lost (JD)
Minotaur,Fight Nights,Fight Night #2,Dragon Slayer,True,ko,Won (KO)
Minotaur,Fight Nights,Fight Night #3,Deep Six,True,ko,Won (KO)
Minotaur,"World Championship Tournament #16 Seed, Quarter-Finals",Round of 32,Bloodsport,True,jd,Won (JD)
Minotaur,"World Championship Tournament #16 Seed, Quarter-Finals",Round of 16,End Game,True,jd,Won (JD)
Minotaur,"World Championship Tournament #16 Seed, Quarter-Finals",Quarter-Final,Witch Doctor,False,jd,Lost (JD)
Minotaur,Fight Nights,Fight Night #1 - Main Event,Tantrum,True,ko,Won (KO)
Minotaur,Fight Nights,Fight Night #2,Free Shipping,True,ko,Won (KO)
Minotaur,Fight Nights,Fight Night #3 - Main Event,Cobalt,True,ko,Won (KO)
Minotaur,Fight Nights,Fight Night #4 - Main Event,Witch Doctor,True,jd,Won (JD)
Minotaur,"World Championship Tournament #1 Seed, Quarter-Finals",Round of 32,Fusion,True,ko,Won (KO)
Minotaur,"World Championship Tournament #1 Seed, Quarter-Finals",Round of 16,Malice,True,jd,Won (JD)
Minotaur,"World Championship Tournament #1 Seed, Quarter-Finals",Quarter-Final,SawBlaze,False,ko,Lost (KO)
Minotaur,BattleBots Proving Ground All Star Week,Exhibition Match #1,Claw Viper,True,ko,Won (KO)
Minotaur,BattleBots Proving Ground All Star Week,Exhibition Match #2,Claw Viper,False,,Lost (Crowd)
Minotaur,BattleBots Proving Ground All Star Week,Exhibition Match #3,Lucky,True,ko,Won (KO)
Minotaur,BattleBots Proving Ground All Star Week,Exhibition Match #4,Traves T.,True,ko,Won (KO)
Minotaur,Group G TBD,Round Robin Match #?,Big Dill,False,,TBD
Minotaur,Group G TBD,Round Robin Match #?,Free Shipping,False,,TBD
Minotaur,Group G TBD,Round Robin Match #?,Claw Viper,False,,TBD
Minotaur,Group E,Round Robin Match #1,Bloodsport,True,ko,Won (KO)
Minotaur,Group E,Round Robin Match #2,HUGE,False,,TBD
Minotaur,Group E,Round Robin Match #3,HyperShock,False,,TBD
