bot,season,stage,opponent,won,method,result_text
Witch Doctor,120lb Collegiate Championship Champion,Winner's Bracket,panDEMONium,True,,Won
Witch Doctor,120lb Collegiate Championship Champion,Winner's Bracket,Bear Tooth,True,,Won
Witch Doctor,120lb Collegiate Championship Champion,Winner's Bracket,Fuchsia Fusion,True,,Won
Witch Doctor,120lb Pro Championship Champion,Winner's Bracket,PanDEMONium,True,,Won
Witch Doctor,120lb Pro Championship Champion,Winner's Bracket,D-Mora-Lizer,True,,Won
Witch Doctor,120lb Pro Championship Champion,Winner's Bracket,Grasshopper,True,,Won
Witch Doctor,120lb Pro Championship Champion,Winner's Bracket,Blue Flame,False,,Lost
Witch Doctor,"NOTE: Despite losing this match, Witch Doctor moved on to the final in unknown circumstances",Final,Blue Flame,True,,Won
Witch Doctor,BotsIQ 2011 Exhibition Matches,Grudge Match,Fluffy DeLarge,False,,Lost
Witch Doctor,"World Championship Tournament #9 Seed, Quarter-Finals",Qualifier,Bronco,False,ko,Lost (KO)
Witch Doctor,NOTE: Witch Doctor received a Wildcard and moved on to the next round,Round of 16,OverDrive,True,ko,Won (KO)
Witch Doctor,NOTE: Witch Doctor received a Wildcard and moved on to the next round,Quarter-Final,Tombstone,False,ko,Lost (KO)
Witch Doctor,Exhibition Matches,Rumble,"Overhaul, Nightmare",False,ko,Lost (KO)
Witch Doctor,"World Championship Tournament #3 Seed, Round of 32",Qualifier,ROTATOR,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #3 Seed, Round of 32",Round of 32,Red Devil,False,ko,Lost (KO)
Witch Doctor,Exhibition Matches,Rumble,"Bite Force, Wrecks",False,ko,Lost (KO)
Witch Doctor,Fight Nights,Fight Night #1 - Main Event,Yeti,False,ko,Lost (KO)
Witch Doctor,Fight Nights,Fight Night #2,Blacksmith,True,jd,Won (JD)
Witch Doctor,Fight Nights,Fight Night #3,Ultimo Destructo,True,ko,Won (KO)
Witch Doctor,Fight Nights,Fight Night #4,Overhaul,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #13 Seed, Round of 16",Round of 16,Minotaur,False,ko,Lost (KO)
Witch Doctor,Fight Nights,Fight Night #1,Shatter!,True,jd,Won (JD)
Witch Doctor,Fight Nights,Fight Night #2,Captain Shrederator,True,ko,Won (KO)
Witch Doctor,Fight Nights,Fight Night #3 - Main Event,Whiplash,True,jd,Won (JD)
Witch Doctor,Fight Nights,Fight Night #4,Gigabyte,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #2 Seed, Runner-Up",Round of 16,Blacksmith,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #2 Seed, Runner-Up",Quarter-Final,SawBlaze,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #2 Seed, Runner-Up",Semi-Final,DeathRoll,True,jd,Won (Split JD)
Witch Doctor,"World Championship Tournament #2 Seed, Runner-Up",Final,Bite Force,False,ko,Lost (KO)
Witch Doctor,re:MARS all:STARS BattleBots Challenge (2019) Champion,Qualifier,Tombstone,True,ko,Won (KO)
Witch Doctor,re:MARS all:STARS BattleBots Challenge (2019) Champion,Final,Bronco,True,ko,Won (KO)
Witch Doctor,Fight Nights,Fight Night #1 - Main Event,Hydra,False,jd,Lost (Split JD)
Witch Doctor,Fight Nights,Fight Night #2 - Main Event,Kraken,False,jd,Lost (JD)
Witch Doctor,Fight Nights,Fight Night #3,SlamMow!,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #23 Seed, Round of 16",Round of 32,Skorpios,True,jd,Won (JD)
Witch Doctor,"World Championship Tournament #23 Seed, Round of 16",Round of 16,SawBlaze,False,ko,Lost (KO)
Witch Doctor,"Bounty Hunters - Witch Doctor Bounty Bounty, Champion",Bounty Match,SubZero,True,ko,Won (KO)
Witch Doctor,Fight Nights,Fight Night #1,DUCK!,True,jd,Won (JD)
Witch Doctor,Fight Nights,Fight Night #2 - Main Event,End Game,False,ko,Lost (KO)
Witch Doctor,Fight Nights,Fight Night #3,Rusty,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #24 Seed, Runner-Up",Round of 32,Mammoth,True,ko,Won (KO)
Witch Doctor,"NOTE: Witch Doctor was originally drawn against Glitch, the #9 seed. Upon Glitch's withdrawal, Mammoth directly replaced it as a substitute.",Round of 16,Copperhead,True,ko,Won (KO)
Witch Doctor,"NOTE: Witch Doctor was originally drawn against Glitch, the #9 seed. Upon Glitch's withdrawal, Mammoth directly replaced it as a substitute.",Quarter-Final,Minotaur,True,jd,Won (JD)
Witch Doctor,"NOTE: Witch Doctor was originally drawn against Glitch, the #9 seed. Upon Glitch's withdrawal, Mammoth directly replaced it as a substitute.",Semi-Final,SawBlaze,True,ko,Won (KO)
Witch Doctor,"NOTE: Witch Doctor was originally drawn against Glitch, the #9 seed. Upon Glitch's withdrawal, Mammoth directly replaced it as a substitute.",Final,Tantrum,False,ko,Lost (KO)
Witch Doctor,Sin City Slugfest V Champion,Golden Bolt Qualifier,Whiplash,True,ko,Won (KO)
Witch Doctor,Golden Bolt Tournament Runner-Up,Quarter-Final,Glitch,True,ko,Won (KO)
Witch Doctor,Golden Bolt Tournament Runner-Up,Semi-Final,HyperShock,True,ko,Won (KO)
Witch Doctor,Golden Bolt Tournament Runner-Up,Final,End Game,False,ko,Lost (KO)
Witch Doctor,Fight Nights,Fight Night #1,Ribbot,True,ko,Won (KO)
Witch Doctor,Fight Nights,Fight Night #2,Fusion,True,jd,Won (Split JD)
Witch Doctor,Fight Nights,Fight Night #3,Gruff,True,ko,Won (KO)
Witch Doctor,Fight Nights,Fight Night #4 - Main Event,Minotaur,False,jd,Lost (JD)
Witch Doctor,"World Championship Tournament #3 Seed, Quarter-Finals",Round of 32,JackPot,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #3 Seed, Quarter-Finals",Round of 16,Lock-Jaw,True,ko,Won (KO)
Witch Doctor,"World Championship Tournament #3 Seed, Quarter-Finals",Quarter-Final,HUGE,False,jd,Lost (JD)
Witch Doctor,"Group D 3-0, 1st Place",Round Robin Match #1,DOOM,True,ko,Won (KO)
Witch Doctor,"Group D 3-0, 1st Place",Round Robin Match #2,Taco Tuesday,True,ko,Won (KO)
Witch Doctor,"Group D 3-0, 1st Place",Round Robin Match #3,Magnitude,True,ko,Won (KO)
Witch Doctor,Group F,Round Robin Match #1,Orbitron,True,ko,Won (TKO)
Witch Doctor,Group F,Round Robin Match #2,Ribbot,False,,TBD
